##################################################################################
# Grid of water world sub-Neptune atmospheric escape models 
#   wind-ae (Broome+2025)
#
# Atmosphere Composition
#  HI: 1.12e-01
#  OI: 8.88e-01
#
# Parameters:
#   Mp: planet mass (M_earth)
#   Rp: planet radius (R_earth)
#   grav: planet gravity (m/s^2)
#   Teq: equilibrium temperature (K)
#   a: semi-major axis (au)
#   Fxuv: total XUV flux at planet's orbit (Fuv_earth)
#   mstar: stellar mass (Msun)
#   lstar: stellar luminosity (Lsun)
#   Mdot: atmospheric mass-loss rate (kg/s)
#   Mdot_OW17: atmospheric mass-loss rate from Owen & Wu 2017 (kg/s) [IGNORE FOR NOW]
#   ramp_to: 0- ramp success, else- ramp failed
#   run_wind: sim.run_wind() output. 0- wind launched, else- wind failed
#   rochelim: 0- planet outside Roche limit, 1- planet within Roche limit
#
# Created: November 03, 2025
# Units: SI, astronomical
# Pure H2O atmosphere, no conductive or bolometric heat/cool, static bcs.
##################################################################################

Mp	Rp	grav	Teq	a	Fxuv	mstar	lstar	Mdot	MdotOW17	ramp_to	run_wind	rochelim
0.20000	0.61678	5.150000	950	0.02597	1.76388e+02	0.550	0.09151	3.72597e+06	1.33847e+08	0	0	0
0.20000	0.61678	5.150000	950	0.02597	2.36354e+03	0.550	0.09151	9.54622e+06	1.33847e+08	0	0	0
0.20000	0.61678	5.150000	950	0.08584	7.33145e-02	1.000	1.00000	1.30161e+04	1.04822e+07	1	0	0
0.20000	0.61678	5.150000	950	0.08584	9.82388e-01	1.000	1.00000	1.58269e+05	1.04822e+07	1	0	0
0.20000	0.61678	5.150000	950	0.08584	1.31636e+01	1.000	1.00000	1.37038e+06	1.04822e+07	1	0	0
0.20000	0.61678	5.150000	950	0.08584	1.76388e+02	1.000	1.00000	5.94499e+06	1.04822e+07	1	0	0
0.20000	0.61678	5.150000	950	0.08584	2.36354e+03	1.000	1.00000	2.23300e+07	1.04822e+07	1	0	0
0.20000	0.61678	5.150000	1225	0.00175	7.33145e-02	0.100	0.00115	0.00000e+00	7.47957e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00175	9.82388e-01	0.100	0.00115	0.00000e+00	7.47957e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00175	1.31636e+01	0.100	0.00115	0.00000e+00	7.47957e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00175	1.76388e+02	0.100	0.00115	0.00000e+00	7.47957e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00175	2.36354e+03	0.100	0.00115	0.00000e+00	7.47957e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00434	7.33145e-02	0.220	0.00707	0.00000e+00	1.87131e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00434	9.82388e-01	0.220	0.00707	0.00000e+00	1.87131e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00434	1.31636e+01	0.220	0.00707	0.00000e+00	1.87131e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00434	1.76388e+02	0.220	0.00707	0.00000e+00	1.87131e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00434	2.36354e+03	0.220	0.00707	0.00000e+00	1.87131e+10	10	1	1
0.20000	0.61678	5.150000	1225	0.00620	7.33145e-02	0.300	0.01442	0.00000e+00	5.62436e+09	10	1	1
0.20000	0.61678	5.150000	1225	0.00620	9.82388e-01	0.300	0.01442	0.00000e+00	5.62436e+09	10	1	1
0.20000	0.61678	5.150000	1225	0.00620	1.31636e+01	0.300	0.01442	0.00000e+00	5.62436e+09	10	1	1
0.20000	0.61678	5.150000	1225	0.00620	1.76388e+02	0.300	0.01442	0.00000e+00	5.62436e+09	10	1	1
0.20000	0.61678	5.150000	1225	0.00620	2.36354e+03	0.300	0.01442	0.00000e+00	5.62436e+09	10	1	1
0.20000	0.61678	5.150000	1225	0.01562	7.33145e-02	0.550	0.09151	0.00000e+00	4.47064e+08	10	1	1
0.20000	0.61678	5.150000	1225	0.01562	9.82388e-01	0.550	0.09151	0.00000e+00	4.47064e+08	10	1	1
0.20000	0.61678	5.150000	1225	0.01562	1.31636e+01	0.550	0.09151	0.00000e+00	4.47064e+08	10	1	1
0.20000	0.61678	5.150000	1225	0.01562	1.76388e+02	0.550	0.09151	0.00000e+00	4.47064e+08	10	1	1
